source,target
France,Russia
France,Russia
Germany,Russia
Germany,Russia
France,Russia
Germany,Russia
Germany,Russia
Germany,Russia
France,Russia
Germany,Russia
Germany,Russia
Germany,Russia
France,Russia
Germany,Russia
Germany,Russia
Germany,Russia
France,Russia
Germany,Russia
Germany,Russia
Germany,Russia
Germany,Russia
Germany,Russia
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Italy
Austria,Germany
Austria,Germany
Germany,Italy
Germany,Italy
Austria,Germany
Austria,Germany
Germany,Italy
Germany,Italy
Austria,Germany
Austria,Germany
Austria,Germany
Austria,Germany
Austria,Germany
Austria,Germany
Germany,Spain
Austria,Germany
Germany,Spain
France,Spain
France,Poland
France,Poland
France,Poland
France,Poland
France,Germany
Germany,Poland
France,Poland
France,Poland
France,Germany
Germany,Poland
France,Poland
France,Poland
France,Germany
Germany,Poland
France,Poland
France,Poland
France,Germany
Germany,Poland
France,Poland
France,Germany
Germany,Poland
France,Germany
Germany,Poland
Germany,Poland
Germany,Poland
Estonia,Germany
Estonia,Latvia
Latvia,Lithuania
Germany,Poland
Estonia,Germany
Estonia,Latvia
Latvia,Lithuania
Finland,Lithuania
Germany,Poland
Estonia,Germany
Estonia,Latvia
Latvia,Lithuania
Finland,Lithuania
Finland,Germany
Germany,Poland
Germany,Poland
Estonia,Germany
Estonia,Latvia
Latvia,Lithuania
Finland,Lithuania
Finland,Germany
Germany,Poland
Belgium,Poland
Belgium,Netherlands
Luxembourg,Netherlands
Germany,Poland
Estonia,Germany
Estonia,Latvia
Latvia,Lithuania
Finland,Lithuania
Finland,Germany
Germany,Poland
Belgium,Poland
Belgium,Netherlands
Luxembourg,Netherlands
Belgium,Luxembourg
Estonia,Latvia
Latvia,Lithuania
Finland,Lithuania
Finland,Germany
Germany,Poland
Belgium,Poland
Belgium,Netherlands
Luxembourg,Netherlands
Belgium,Luxembourg
Belgium,Denmark
Denmark,Norway
Finland,Germany
Germany,Poland
Belgium,Poland
Belgium,Netherlands
Luxembourg,Netherlands
Belgium,Luxembourg
Belgium,Denmark
Denmark,Norway
Germany,Poland
Belgium,Poland
Belgium,Netherlands
Luxembourg,Netherlands
Belgium,Luxembourg
Belgium,Denmark
Denmark,Norway
Denmark,Norway
Denmark,Sweden
Germany,Sweden
Belgium,Netherlands
Luxembourg,Netherlands
Belgium,Luxembourg
Belgium,Denmark
Denmark,Norway
Denmark,Norway
Denmark,Sweden
Germany,Sweden
France,Germany
Belgium,Denmark
Denmark,Norway
Denmark,Norway
Denmark,Sweden
Germany,Sweden
France,Germany
Denmark,Norway
Denmark,Norway
Denmark,Sweden
Germany,Sweden
France,Germany
Denmark,Norway
Denmark,Sweden
Germany,Sweden
France,Germany
Denmark,Norway
Denmark,Sweden
Germany,Sweden
France,Germany
France,Italy
France,Italy
France,Italy
Germany,Italy
France,Italy
Germany,Italy
France,Italy
Germany,Italy
Germany,Italy
Albania,Greece
Albania,Greece
Albania,Greece
Albania,Greece
Albania,Greece
Albania,Greece
Greece,Ukraine
Belarus,Ukraine
Albania,Greece
Albania,Greece
Greece,Ukraine
Belarus,Ukraine
Albania,Greece
Albania,Greece
Greece,Ukraine
Belarus,Ukraine
Albania,Greece
Albania,Greece
Greece,Ukraine
Belarus,Ukraine
Belarus,Libya
Egypt,Libya
Belarus,Ukraine
Belarus,Libya
Egypt,Libya
Egypt,Libya
Belarus,Ukraine
Belarus,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Iraq
Egypt,Libya
Egypt,Libya
Egypt,Libya
Egypt,Iraq
Egypt,Libya
Egypt,Iraq
Egypt,Iraq
Egypt,Iraq
Germany,Japan
Germany,Japan
Germany,Japan
Japan,Russia
Germany,Japan
Germany,Japan
Japan,Russia
Germany,Russia
Germany,Italy
Germany,Japan
Germany,Japan
Japan,Russia
Germany,Russia
Germany,Italy
Germany,Italy
Germany,Japan
Germany,Japan
Japan,Russia
Germany,Russia
Germany,Italy
Germany,Italy
Germany,Japan
Germany,Japan
Japan,Russia
Germany,Russia
Germany,Italy
Germany,Italy
Japan,Russia
Germany,Russia
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Italy
Germany,Morocco
Algeria,Morocco
Germany,Morocco
Algeria,Morocco
Algeria,Italy
Algeria,Morocco
Algeria,Italy
Algeria,Morocco
Algeria,Italy
Algeria,Morocco
Algeria,Italy
Algeria,Morocco
Algeria,Italy
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
France,Germany
Germany,Poland
Germany,Poland
